Funcao,Localização,Skills Necessarias,Média Salarial,separação 1,separação 2,separação 3,separação 4,Cargo
"TOTVS
4.3
Pessoa Desenvolvedora C# - Senior
Belo Horizonte",Belo Horizonte,NF,NF,TOTVS,4.3,Pessoa Desenvolvedora C# - Senior,Belo Horizonte,Pessoa Desenvolvedora C# - Senior
"Accenture
3.9
Desenvolvedor de Software Embarcado
Nova Lima",Nova Lima,NF,NF,Accenture,3.9,Desenvolvedor de Software Embarcado,Nova Lima,Desenvolvedor de Software Embarcado
"Novas oportunidades na Onfly!
Desenvolvedor(a) Back-end Pleno | Laravel (Híbrido - BH)
Belo Horizonte",Belo Horizonte,NF,NF,Novas oportunidades na Onfly!,Desenvolvedor(a) Back-end Pleno | Laravel (Híbrido - BH),Belo Horizonte,,Desenvolvedor(a) Back-end Pleno | Laravel (Híbrido - BH)
"VONO TECNOLOGIA LTDA
Programador
Belo Horizonte",Belo Horizonte,"A oportunidade que estamos oferecendo é para Programador/Desenvolvedor Laravel.

Com as seguintes atribuições:

Desenvolver novas Ferramentas e Melhorias para o nosso sistema que é feito com a base do Laravel | Trabalhar em conjunto com o nosso time.

Construção e consumo de APIs.

Desenvolvimento de projetos com integrações de API's de terceiros.

Implementação de novos recursos e funcionalidades na aplicação, avaliar a existência de bugs.

Nós da Vono Tecnologia, esperamos um(a) profissional com:

Boa comunicação
Leitura Dinâmica
Foco
Perfeccionismo",NF,VONO TECNOLOGIA LTDA,Programador,Belo Horizonte,,Programador
"BairesDev
4.0
Desenvolvedor Java Sênior | WinDifferent
Belo Horizonte",Belo Horizonte,NF,NF,BairesDev,4,Desenvolvedor Java Sênior | WinDifferent,Belo Horizonte,Desenvolvedor Java Sênior | WinDifferent
"OEmprego
4.5
DESENVOLVEDOR FRONT END - BELO HORIZONTE
Belo Horizonte",Belo Horizonte,NF,NF,OEmprego,4.5,DESENVOLVEDOR FRONT END - BELO HORIZONTE,Belo Horizonte,DESENVOLVEDOR FRONT END - BELO HORIZONTE
"Bequest Digital
Desenvolvedor Fullstack Backend Pleno
Belo Horizonte",Belo Horizonte,NF,NF,Bequest Digital,Desenvolvedor Fullstack Backend Pleno,Belo Horizonte,,Desenvolvedor Fullstack Backend Pleno
"mazzatech
3.9
Desenvolvedor ABAP Sênior
Belo Horizonte",Belo Horizonte,NF,NF,mazzatech,3.9,Desenvolvedor ABAP Sênior,Belo Horizonte,Desenvolvedor ABAP Sênior
"ISTPAY SERVICOS DE PAGAMENTOS E GESTAO FINANCEIRA LTDA
Desenvolvedor Back End | Java Sênior
Belo Horizonte",Belo Horizonte,"Begins IT Solutions
A Begins, do grupo de empresas da IstPay, tem como missão transforma ideias em realidade digital. Somos especialistas em desenvolvimento de software, comprometidos em criar soluções inovadoras e personalizadas para atender às necessidades exclusivas de nossos clientes. Junte-se a nós nesta jornada de inovação e descubra como a Begins pode impulsionar o sucesso do seu negócio através da tecnologia.
Descrição
A posição de Desenvolvedor Java tem um papel fundamental para a execução e entrega de um sistema com qualidade e seguro. Para está vaga o profissional deve ter uma longa experiencia em Java com Spring Boot.

Mostrar mais
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
2022
Tipo
Empresa – capital fechado
Indústria
Serviços bancários e de crédito
Setor
Financeiro
Receita
Desconhecido/Não se aplica
Classificações da empresa ISTPAY SERVICOS DE PAGAMENTOS E GESTAO FINANCEIRA LTDA
2,6
40 %
Recomendam para outras pessoas
Oportunidades de carreira
2,6
Remuneração e benefícios
3,0
Cultura e valores
2,6
Alta liderança
2,6
Qualidade de vida
2,6",NF,ISTPAY SERVICOS DE PAGAMENTOS E GESTAO FINANCEIRA LTDA,Desenvolvedor Back End | Java Sênior,Belo Horizonte,,Desenvolvedor Back End | Java Sênior
"Group Software
3.1
Desenvolvedor Java Fullstack Pleno
Belo Horizonte",Belo Horizonte,"Já pensou em trabalhar com tecnologias e metodologias mais recentes do mercado como microsserviços, event-driven architecture, cloud-native e muitas outras stacks?

Então venha participar do time da Group Software e avance na sua carreira como desenvolvedor(a).

Veja o que mais vai encontrar:
? Fazer parte de um time para inovação de produtos no segmento de gestão de propriedades;

? Vivenciar e melhorar práticas de desenvolvimento ágil;

? Vivenciar a metodologia DevOps bem como a utilização das ferramentas envolvidas;

? Fazer parte de um ambiente sem apego a hierarquia, colaborativo e dinâmico; Atividades:

? Desenvolvimento na linguagem Java e framework Spring;

? Desenvolvimento em frontend com ReactJS;

? Modelagem de dados, experiência avançada em banco MySQL e ter conhecimento no framework JPA/Hibernate;

? Aplicar conhecimentos em padrões de projeto;

? Construir um bom relacionamento com a equipe.
Mostrar mais
Visão geral da empresa
Tamanho
201 a 500 funcionários
Fundação
1996
Tipo
Empresa – capital fechado
Indústria
Soluções de software e redes corporativas
Setor
Tecnologia da informação
Receita
Desconhecido/Não se aplica
Classificações da empresa Group Software
3,1
63 %
Recomendam para outras pessoas
Oportunidades de carreira
2,9
Remuneração e benefícios
2,8
Cultura e valores
2,9
Alta liderança
2,8
Qualidade de vida
2,9
Benefícios da empresa Group Software
4,2
3 classificações
Avaliações de benefícios de funcionários
Mais comentadas
Vale-Alimentação(22 comentários)
""É um valor razoável pelo que se propõe""
Plano de Saúde(12 comentários)
""Arcam com 50% do plano.""
Vale-Transporte/Fretado(7 comentários)
""A empresa cobre o maioria do nosso deslocamento para o trabalho.""
18 de jan. de 2024
Atual Funcionário em Belo Horizonte, MG, Minas Gerais
Empresa com proposta de bons benefícios.
10 de jan. de 2024
Atual Analista Júnior em Belo Horizonte, MG, Minas Gerais
Plano de saúde, com desconto muito alto.
30 de nov. de 2023
Atual Analista de Performance Pleno em Belo Horizonte, MG, Minas Gerais
Flexibilidade com o cartão flash",NF,Group Software,3.1,Desenvolvedor Java Fullstack Pleno,Belo Horizonte,Desenvolvedor Java Fullstack Pleno
"Super Nosso
3.9
DESENVOLVEDOR OUTSYSTEMS JUNIOR
Contagem",Contagem,NF,NF,Super Nosso,3.9,DESENVOLVEDOR OUTSYSTEMS JUNIOR,Contagem,DESENVOLVEDOR OUTSYSTEMS JUNIOR
"Vileve
DESENVOLVEDOR FULL STACK SÊNIOR
Belo Horizonte",Belo Horizonte,NF,NF,Vileve,DESENVOLVEDOR FULL STACK SÊNIOR,Belo Horizonte,,DESENVOLVEDOR FULL STACK SÊNIOR
