Localização,Skills Necessarias,Média Salarial,Cargo,ver_cargo,palavra_chave,Área,texto,Cargo 1,Cargo 2,Cargo 3,Cargo 4,Cargo 5,Cargo 6,palavra-chave 1,palavra-chave 2,palavra-chave 3,palavra-chave 4,palavra-chave 5,palavra-chave 6,Nome Vaga Normalizado,Área Normalizada,Macro Área
Porto Alegre,"Estamos buscando profissional para atuar com voz ativa nos projetos da empresa, conduzindo os planos de implementação, orientando os desenvolvedores menos experientes e tendo participação ativa com o tech lead nos projetos. O projeto é super interessante e desafiador, sendo um projeto social que opera hoje em mais de 20 países, sendo uma solução desenvolvida em ruby on rails e uma solução desenvolvida com electron e docker.
Requisitos
Sólida experiência como desenvolvedor de software, com ênfase em desenvolvimento de aplicações web. Conhecimento avançado em pelo menos uma linguagem de programação, como Ruby, Javascript, Python ou PHP. Experiência com frameworks de desenvolvimento web, como Ruby On Rails Familiaridade com bancos de dados relacionais e não relacionais, bem como experiência em consultas e modelagem de dados. Conhecimento sólido de práticas de desenvolvimento ágil e metodologias de trabalho em equipe. Habilidades de resolução de problemas e capacidade de pensar de forma criativa. Excelentes habilidades de comunicação e capacidade de trabalhar efetivamente em equipe. Formação acadêmica na área de tecnologia Residir em Porto Alegre/RS pois no inicio espera-se que o profissional venha 3 vezes por semana até a sede para uma melhor integração e desenvolvimento junto ao time.
Não informado
Horário a combinar
Remuneração compatível;
Ambiente descontraído e colaborativo
Oportunidade para aprender e crescer profissionalmente
Mostrar mais
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Self-employed
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Divulga Vagas - Consultoria
4,8
100 %
Recomendam para outras pessoas
Oportunidades de carreira
4,8
Remuneração e benefícios
5,0
Cultura e valores
4,7
Alta liderança
4,6
Qualidade de vida
4,8",NF, desenvolvedor de software senior  -  foco em ruby on rails .   -  porto alegre  -  rs  -  vaga , desenvolvedor ," software ,  ruby ",desenvolvimento de software,desenvolvedor software ruby,True,False,True,False,False,False,True,True,True,False,False,False,Desenvolvedor,desenvolvedor,desenvolvimento de software
Porto Alegre,"Aqui na Nelogica, desenvolvemos tecnologias e pessoas de alta performance com o propósito de transformar o futuro do mercado financeiro!

Você tem sede de desafios e está a fim de fazer parte de um time que busca a excelência, impactando diretamente milhares de usuários? Estamos sempre com posições abertas nas mais diversas frentes de atuação, para desenvolvedores apaixonados por transformar inteligência em código!

Neste time Web, atuamos no desenvolvimento de plataformas de negociação Web e/ou mobile híbrida, com soluções de alta criticidade financeira e baixa latência e os principais desafios envolvem o uso de tecnologias como Javascript, TypeScript, Asp.Net (WEB Forms e MVC), Angular, Vue.js, C#, Microsoft Azure, Ionic, Webservices (SOAP e REST), além de bancos de dados SQL Server e MongoDB.













Mostrar mais
Visão geral da empresa
Tamanho
501 a 1.000 funcionários
Fundação
2003
Tipo
Empresa – capital fechado
Indústria
Soluções de software e redes corporativas
Setor
Tecnologia da informação
Receita
Desconhecido/Não se aplica
Classificações da empresa Nelogica
3,2
54 %
Recomendam para outras pessoas
Oportunidades de carreira
3,0
Remuneração e benefícios
3,6
Cultura e valores
3,1
Alta liderança
2,8
Qualidade de vida
3,1
Avaliações da empresa Nelogica
Prós
""Relaxed atmosphere, good benefits, home"" (em 1 avaliação)
Contras
""Péssima arquitetura de software em uma linguagem pouco utilizada no mercado (Delphi)."" (em 1 avaliação)
Benefícios da empresa Nelogica
4,0
3 classificações
Resumo da empresa
Vagas 100% remotas;
Auxílio Home Office;
Vale-Refeição ou Vale-Alimentação;
Programa de Participação dos Resultados;
Incentivo ao Desenvolvimento;
Gympass
Plano de Saúde;
NAV: Pronto atendimento digital
Plano Odontológico;
Seguro de Vida;
Vale Transporte;
Cultura de Feedbacks;
Ciclo de Promoção Trimestral;
Avaliação de Desempenho Mensal.
*A cesta de benefícios pode variar dependendo da alocação do colaborador em determinados projetos ou empresas do grupo
Avaliações de benefícios de funcionários
Mais comentadas
Vale-Refeição(24 comentários)
""Valor condizente com custo de vida da região""
Vale-Alimentação(23 comentários)
""Valor condizente com custo de vida da região""
Plano de Saúde(16 comentários)
""Infelizmente não tem para estagiários.""
27 de mar. de 2024
Atual Estagiário em Porto Alegre, RS, Rio Grande do Sul
Ótimo vale refeição, mas infelizmente nada de plano de saúde para estagiários.
24 de mar. de 2024
Ex-Desenvolvedor I em Rio de Janeiro, Rio de Janeiro
Ótimos benefícios levando em consideração outras empresas.
29 de fev. de 2024
Atual Funcionário em Porto Alegre, RS, Rio Grande do Sul
Plano de saúde e odontológico que atende na grande parte do Brasil,",NF, desenvolvedor ( a )  web  -  full stack , desenvolvedor ," web ,  full ,  stack ",desenvolvimento de software,desenvolvedor web full stack,True,False,True,False,False,False,True,True,True,False,False,False,Desenvolvedor,desenvolvedor,desenvolvimento de software
Porto Alegre,"ARQUITETO(A) DESENVOLVEDOR SÊNIOR - Sistema BIM


Remuneração:
7.500,00 à 8.500,00 (PJ)
quero me candidatar
Atividades:
DESENVOLVIMENTO DE PROJETO ARQUITETÔNICO COMPLETO (EDIFICAÇÕES, PRÉDIOS E CASAS),
ANTEPROJETO, PROJETO ARQUITETÔNICO EXECUTIVO E DETALHAMENTO. PREFERENCIALMENTE EM
SOFTWARE BIM (ARCHICAD);
COMPATIBILIZAÇÃO DE PROJETOS;
TRABALHO EM EQUIPE E SOB COORDENAÇÃO;
POSSIBILIDADE DE TRABALHO HÍBRIDO;


Mostrar mais
Faixa de salário base
O salário mínimo é de R$ 8 mil e o salário máximo é de R$ 9 mil.
R$ 8 mil – R$ 9 mil/ano (est. Empresa)
R$ 8 mil
/ano (mediana)
Porto Alegre
Caso a empresa inclua um salário ou uma faixa salarial em uma vaga, nós o exibimos como ""Estimativa da empresa"". Caso a vaga não tenha informações de salário, o Glassdoor exibe uma ""Estimativa do Glassdoor"", se disponível. Para saber mais sobre as ""Estimativas do Glassdoor', consulte nossa página de Perguntas frequentes.
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Empresa – capital fechado
Indústria
Consultoria de RH
Setor
Recursos humanos e pessoal
Receita
Desconhecido/Não se aplica
Classificações da empresa TK Recursos Humanos
5,0
100 %
Recomendam para outras pessoas
Oportunidades de carreira
3,0
Remuneração e benefícios
5,0
Cultura e valores
5,0
Qualidade de vida
5,0",R$ 8 mil – R$ 9 mil/ano (est. Empresa), arquiteto ( a )  desenvolvedor senior ," arquiteto ,  desenvolvedor ",Outros,desenvolvimento de software,arquiteto desenvolvedor,True,False,True,False,False,False,True,True,False,False,False,False,Arquiteto de Sistemas,sistemas,
Porto Alegre,"Empresa que atua com e-mail marketing e utiliza ferramentas para alavancar vendas e criar um canal de relacionamento com os clientes. São mais de 2500 empresas distribuídas no Brasil inteiro e o índice de satisfação quanto ao atendimento e serviços oferecidos supera 90% desta carteira de clientes.

Skills
Experiência de no mínimo 2 anos de experiencia com React.
Conhecimento em JavaScript - React - Typescript.
Conhecimento sólido e vivência no consumo de API's

Diferenciais:



Mostrar mais
Visão geral da empresa
Tamanho
Desconhecido
Fundação
--
Tipo
Empresa – capital aberto
Indústria
Rádio e televisão
Setor
Mídia e comunicação
Receita
Desconhecido/Não se aplica
Classificações da empresa WKRH
4,3
100 %
Recomendam para outras pessoas
Oportunidades de carreira
4,3
Remuneração e benefícios
3,0
Cultura e valores
4,1
Alta liderança
4,4
Qualidade de vida
2,8
Avaliações da empresa WKRH
Prós
""Great People."" (em 4 avaliações)
""Strong Leadership."" (em 1 avaliação)
""Work environment was overall ok with some people."" (em 1 avaliação)
Contras
""Low pay for the amount of work you do."" (em 1 avaliação)",NF, pessoa desenvolvedora front - end react  [ hibrido ]  , desenvolvedora ," front ,  end ,  react ",desenvolvimento de software,desenvolvedora front end react,True,False,True,False,False,False,True,True,True,True,True,False,Desenvolvedor,desenvolvedor,desenvolvimento de software
Porto Alegre,"Atribuições:

Tratamento e importação de dados
Uso de ferramenta de ETL
Automação entre sistemas
Desenvolvimento de projetos
Requisitos
Requisitos:

Inglês intermediário/avançado
Biblioteca pandas
Experiência com ETL
Jornada de Trabalho: Das 8hs às 18hs Carga Horária:
Jornada de Trabalho: Das 8hs às 18hs

Sem informação




Mostrar mais
Salário base
O salário mínimo é de R$ 4 mil e o salário máximo é de R$ 4 mil.
R$ 4 mil/mês (est. Empresa)
Porto Alegre
Caso a empresa inclua um salário ou uma faixa salarial em uma vaga, nós o exibimos como ""Estimativa da empresa"". Caso a vaga não tenha informações de salário, o Glassdoor exibe uma ""Estimativa do Glassdoor"", se disponível. Para saber mais sobre as ""Estimativas do Glassdoor', consulte nossa página de Perguntas frequentes.",R$ 4 mil/mês (est. Empresa), desenvolvedor python  -  full stack  -  back end  -  para escritorio contabil  -  porto alegre  -  rs , desenvolvedor ," python ,  back ,  full ,  end ,  stack ",desenvolvimento de software,desenvolvedor pythonr back full end stack,True,False,True,False,False,False,True,True,True,False,True,False,Desenvolvedor,desenvolvedor,desenvolvimento de software
Gravataí,"Analisar e corrigir problemas;
Apontar possíveis falhas, propor soluções, melhorias e novas funcionalidades nos sistemas da empresa;
Analisar, propor e aplicar as melhores soluções e tecnologias para problemas de desenvolvimento, visando a segurança das informações através de testes, documentação e atualização das estruturas desenvolvidas e a todos envolvidos nos processos e alterações;
Homologar os sistemas e aplicações, dar treinamento a usuários.
Conhecimentos avançados em: Javascript, Bootstrap, HTML5, CSS3, jQuery, desenvolvimento de APIs, WebServices, versionamento de código, padrões e melhores práticas de desenvolvimento, Rest e conhecimento em metodologias ágeis (Scrum/Kanban).

Sistemas Operacionais Windows
Banco de dados: SQL Server.



Segunda a sexta das 08:00 às 18:00 Carga Horária:
Segunda a sexta das 08:00 às 18:00

Sem informação



Mostrar mais
Salário base
O salário mínimo é de R$ 3 mil e o salário máximo é de R$ 3 mil.
R$ 3 mil/mês (est. Empresa)
Gravataí
Caso a empresa inclua um salário ou uma faixa salarial em uma vaga, nós o exibimos como ""Estimativa da empresa"". Caso a vaga não tenha informações de salário, o Glassdoor exibe uma ""Estimativa do Glassdoor"", se disponível. Para saber mais sobre as ""Estimativas do Glassdoor', consulte nossa página de Perguntas frequentes.",R$ 3 mil/mês (est. Empresa), programador c# , programador , c# ,desenvolvimento de software,programador c,False,False,False,True,False,False,False,False,False,True,False,False,Indefinido,,
Cachoeirinha,"Conhecimentos:
Flutter Mobile/Web Avançado;
CI/CD Pipelines;
Redis Caching;
Conhecimento intermediário em Node (NestJS).
Deve ter trabalhado com times que utilizam métodos ágeis para desenvolvimento, bem como estar disposto a trabalhar em regime home office, deve ter boa gestão de tarefas.

Atividades e Responsabilidades:
Procuramos por Desenvolvedor Mobile para fazer parte do time de desenvolvimento de nosso principal APP;
O candidato ideal deve ter reconhecida experiência em Flutter/Dart e conhecimento de integrações backend (Node - Nest.js).

Requisitos:
Desenvolvimento mobile frontend, deve ter conhecimento intermediário de backend (Fullstack);
Participar ativamente no ciclo de vida do desenvolvimento do produto, incluindo desenvolvimento, implementação, testes e validação;
Conhecimento de boas práticas de programação TDD, Clean Architecture, SOLID, Design Patterns, visando sempre uma melhor compreensão do código, com boa documentação e robustez;
Estar sempre próximo das tendências de tecnologia e linguagens Mobile (Conhecimento nativo é um diferencial).
Escolaridade Mínima: Ensino Superior",NF, desenvolvedor ( a )  mobile flutter senior , desenvolvedor , mobile ,desenvolvimento de software,desenvolvedor mobile,True,False,True,False,False,False,True,True,False,False,False,False,Desenvolvedor,desenvolvedor,desenvolvimento de software
Gravataí,"Responsável pelo desenvolvimento do software conforme projetado pelo Analista de Sistemas, avaliando a viabilidade do desenvolvimento do produto e propondo sugestões de implementação seguindo as boas práticas de codificação.

Responsabilidades e atribuições
Garantir para que a qualidade dos produtos e serviços desenvolvidos atendam aos padrões mínimos definidos e determinados pela empresa;
Desenvolver aplicações, conforme projetado pelo analista, usando as ferramentas disponibilizadas pela empresa;
Dar manutenção e suporte aos softwares desenvolvidos pela empresa;







Mostrar mais
Visão geral da empresa
Tamanho
501 a 1.000 funcionários
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa PERTO
3,5
68 %
Recomendam para outras pessoas
Oportunidades de carreira
2,7
Remuneração e benefícios
2,9
Cultura e valores
3,0
Alta liderança
2,7
Qualidade de vida
2,8
Avaliações da empresa PERTO
Prós
""A good platform for learn and infrastructure was so good of company also HR so helpfully and the company CEO also good for them who like to work properly."" (em 2 avaliações)
""Nice people all around thanks"" (em 1 avaliação)
""New company, less pressure compare to other similiar company."" (em 1 avaliação)
Contras
""No, promote, and low salary, work too much but got less"" (em 4 avaliações)
""No employe security of wealth"" (em 1 avaliação)
Benefícios da empresa PERTO
3,2
3 classificações
Avaliações de benefícios de funcionários
Mais comentadas
Plano de Saúde(10 comentários)
""plano participativo, porem bem aceito""
Vale-Transporte/Fretado(8 comentários)
""Valor justo Desce próximo de casa""
Participação nos Lucros e Resultados (PLR)(8 comentários)
""Auxilio educação, associação dos funcioarios e racho""
6 de jan. de 2024
Atual Técnico Eletrônico em Barueri, São Paulo
Plano de saúde Unimed , Vale Refeição Baixo
16 de nov. de 2023
Ex-Projetista De Software em Gravataí, Rio Grande do Sul
Transporte fretado. A comida do refeitório deixa a desejar.
8 de nov. de 2023
Atual Funcionário em Barueri, São Paulo
Não possui VR, nem Home Office (só pra chefe), plano de saúde com co-participação.",NF, desenvolvedor de software ii , desenvolvedor , software ,desenvolvimento de software,desenvolvedor software,True,False,True,False,False,False,True,True,True,False,False,False,Desenvolvedor,desenvolvedor,desenvolvimento de software
São Leopoldo,"Atividades: Programação de serviços de instalação e manutenção externa, definição de equipes e logística de viagens, interface entre cliente, empresa e equipe técnica, controle e envio de documentos aos clientes, controle de treinamentos da equipe técnica, agendamento de integração, entre outras funções pertinentes ao cargo;
Experiência em programação de serviços;
Horário: 07:30 as 17:25 - Salário: R$ 2000,00. Cargo: PROGRAMADOR DE MANUTENÇÃO - SAO LEOPOLDO | Salario: R$ 2.000,00. | Ensino: Curso técnico | Profissionalizante. | Turno: Manhã e Tarde. | Area: Construção, Manutenção. | Experiencia: 6 meses. | Cidade: São Leopoldo / RS
Mostrar mais
Salário base
O salário mínimo é de R$ 2 mil e o salário máximo é de R$ 2 mil.
R$ 2 mil/mês (est. Empresa)
São Leopoldo
Caso a empresa inclua um salário ou uma faixa salarial em uma vaga, nós o exibimos como ""Estimativa da empresa"". Caso a vaga não tenha informações de salário, o Glassdoor exibe uma ""Estimativa do Glassdoor"", se disponível. Para saber mais sobre as ""Estimativas do Glassdoor', consulte nossa página de Perguntas frequentes.
Visão geral da empresa
Tamanho
Desconhecido
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa OEmprego
4,5
100 %
Recomendam para outras pessoas
Oportunidades de carreira
4,7
Remuneração e benefícios
4,7
Cultura e valores
5,0
Alta liderança
5,0
Qualidade de vida
4,7",R$ 2 mil/mês (est. Empresa), programador de manutencao  -  sao leopoldo , programador ,Outros,desenvolvimento de software,programador,False,False,False,True,False,False,False,False,False,True,False,False,Indefinido,,
Caxias do Sul,"Descrição da oferta:
Empresa de software admite Desenvolvedor de APP em Caxias do Sul (Sanvitto).
Principais Responsabilidades:
Tarefas pertinentes a rotinas de Desenvolvedor de APP.
Benefícios oferecidos:
Benefícios a combinar em entrevista.
Salário:
A combinar.
Observações:
Mostrar mais
Visão geral da empresa
Tamanho
Desconhecido
Fundação
--
Tipo
Empresa – capital aberto
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Jobbol
4,6
100 %
Recomendam para outras pessoas
Oportunidades de carreira
4,9
Remuneração e benefícios
4,9
Cultura e valores
4,9
Alta liderança
4,7
Qualidade de vida
5,0",NF, desenvolvedor de app , desenvolvedor ,Outros,desenvolvimento de software,desenvolvedor,True,False,True,False,False,False,True,True,False,False,False,False,Desenvolvedor,desenvolvedor,desenvolvimento de software
Porto Alegre,".
Requisitos
Comprometimento com a entidade e proatividade.
Jornada de trabalho Segunda a sexta das 09:00 às 18:00. Carga Horária:
Jornada de trabalho Segunda a sexta das 09:00 às 18:00.

Sem informação

Comprometimento com a entidade e proatividade.",NF, programador delphi  -  centro  -  porto alegre  -  rs , programador ,Outros,desenvolvimento de software,programador,False,False,False,True,False,False,False,False,False,True,False,False,Indefinido,,
